"STATION_ADDR1","STATION_ID","STATION_LATITUDE","STATION_LONGITUDE"
"서울특별시 중구 청계천로 30","ST-134",37.56852722,126.9825516
"서울특별시 용산구 이촌로2가길 1","ST-1340",0,0
"서울특별시 용산구 백범로 지하 287","ST-1341",37.53900909,126.96138
"서울특별시 용산구 한강대로77길 18","ST-1342",37.54198074,126.9715424
"서울특별시 용산구 원효로 74","ST-1343",37.53142166,126.9514999
"서울특별시 용산구 서빙고로 417","ST-1344",37.52906036,127.0067291
"서울특별시 중랑구 송림길 172","ST-1345",37.60460281,127.1092529
"서울특별시 중랑구 동일로 862","ST-1346",37.6073494,127.0785904
"서울특별시 성북구 보문로30길 29","ST-1347",37.58869934,127.0189133
"서울특별시 노원구 월계로 280","ST-1348",37.62694168,127.05513
"서울특별시 노원구 화랑로 570","ST-1349",37.62316513,127.0904999
"서울특별시 중구 남대문로 109","ST-135",0,0
"서울특별시 양천구 안양천로 1071","ST-1350",37.53722763,126.8866119
"서울특별시 강서구 강서로62길 48","ST-1351",37.56256866,126.8424606
"서울특별시 강서구 수명로 72","ST-1352",37.5534668,126.8259277
